위반쓰레기,위반장소,위반일시
담배꽁초,강남역 11번출구,2022-01-04 11:15
담배꽁초,강남역 11번출구,2022-01-04 11:07
담배꽁초,강남역 11번출구,2022-01-04 10:58
담배꽁초,강남역 11번출구,2022-01-04 12:20
담배꽁초,강남역 11번출구,2022-01-04 10:50
담배꽁초,강남역 11번출구,2022-01-04 10:38
담배꽁초,강남역 11번출구,2022-01-04 13:23
담배꽁초,강남역 11번출구,2022-01-04 13:27
담배꽁초,강남역 11번출구,2022-01-04 13:30
담배꽁초,강남역 11번출구,2022-01-04 13:37
담배꽁초,강남역 11번출구,2022-01-04 13:53
담배꽁초,강남역 11번출구,2022-01-04 14:02
담배꽁초,강남역 11번출구,2022-01-04 14:07
담배꽁초,강남역 11번출구,2022-01-04 14:12
담배꽁초,삼성동 삼성로96길26-6,2022-01-04 11:00
담배꽁초,삼성동 삼성로96길26-6,2022-01-04 11:05
담배꽁초,삼성동 테헤란로447,2022-01-04 11:20
담배꽁초,삼성동 테헤란로81길22,2022-01-04 13:50
담배꽁초,삼성동 테헤란로503,2022-01-04 14:00
담배꽁초,삼성동 테헤란로503,2022-01-04 14:14
담배꽁초,삼성동 테헤란로81길9,2022-01-04 14:20
담배꽁초,삼성동 삼성로96길26-6,2022-01-04 10:58
담배꽁초,삼성동 삼성로92길23,2022-01-04 11:04
담배꽁초,삼성동 테헤란로81길16,2022-01-04 11:12
담배꽁초,삼성동 테헤란로447,2022-01-04 11:25
담배꽁초,삼성동 테헤란로81길16,2022-01-04 12:10
담배꽁초,삼성동 테헤란로83길32,2022-01-04 13:40
담배꽁초,삼성동 테헤란로81길16,2022-01-04 13:55
담배꽁초,삼성동 삼성로96길6,2022-01-04 14:20
담배꽁초,대치동 한국문화의집,2022-01-04 11:00
담배꽁초,대치동 섬유센터,2022-01-04 11:00
담배꽁초,대치동 루첸타워,2022-01-04 11:10
담배꽁초,대치동 루첸타워,2022-01-04 11:20
담배꽁초,대치동 루첸타워,2022-01-04 11:27
담배꽁초,대치동 정안빌딩,2022-01-04 13:40
담배꽁초,대치동 루첸타워,2022-01-04 14:10
담배꽁초,역삼동 강남대로406,2022-01-05 10:40
담배꽁초,역삼동 강남대로406,2022-01-05 10:42
담배꽁초,역삼동 강남대로406,2022-01-05 10:50
담배꽁초,역삼동 강남대로406,2022-01-05 11:15
담배꽁초,논현동 201-1,2022-01-05 10:20
담배꽁초,논현동 201-1,2022-01-05 10:20
담배꽁초,논현동 201-1,2022-01-05 11:10
담배꽁초,논현동 201-1,2022-01-05 11:20
담배꽁초,논현동 관세청사거리,2022-01-05 09:06
담배꽁초,논현동 홈플러스앞,2022-01-05 09:17
담배꽁초,논현동 학동로172,2022-01-05 09:22
담배꽁초,논현동 학동로120,2022-01-05 09:40
담배꽁초,논현동 학동로4길15,2022-01-05 09:45
담배꽁초,논현동 학동로4길15,2022-01-05 09:57
담배꽁초,논현동 영동시장내,2022-01-05 10:05
담배꽁초,논현동 강남대로122길23,2022-01-05 10:25
담배꽁초,강남역 1번출구,2022-01-05 11:00
담배꽁초,강남역 1번출구,2022-01-05 11:00
담배꽁초,역삼동 강남대로94길10,2022-01-05 11:20
담배꽁초,역삼동 강남대로408,2022-01-05 12:10
담배꽁초,강남역 11번출구,2022-01-05 11:50
담배꽁초,강남역 11번출구,2022-01-05 12:05
담배꽁초,강남역 11번출구,2022-01-05 12:05
담배꽁초,강남역 11번출구,2022-01-05 13:50
담배꽁초,강남역 11번출구,2022-01-05 13:50
담배꽁초,역삼동 테헤란로2길31,2022-01-05 10:35
담배꽁초,역삼동 패스트파이브,2022-01-05 11:00
담배꽁초,역삼동 패스트파이브,2022-01-05 11:21
담배꽁초,역삼동 패스트파이브,2022-01-05 11:57
담배꽁초,역삼동 패스트파이브,2022-01-05 13:24
담배꽁초,강남역 11번출구,2022-01-05 11:00
담배꽁초,강남역 11번출구,2022-01-05 11:20
담배꽁초,강남역 11번출구,2022-01-05 11:24
담배꽁초,역삼동 테헤란로123,2022-01-05 11:10
담배꽁초,역삼동 테헤란로123,2022-01-05 11:15
담배꽁초,역삼동 강남대로406,2022-01-05 11:02
담배꽁초,역삼동 강남대로406,2022-01-05 11:30
담배꽁초,역삼동 강남대로406,2022-01-05 11:55
담배꽁초,역삼동 강남대로406,2022-01-05 12:30
담배꽁초,강남역 11번출구,2022-01-05 12:25
담배꽁초,강남역 11번출구,2022-01-05 12:00
담배꽁초,강남역 11번출구,2022-01-05 14:03
담배꽁초,강남역 11번출구,2022-01-05 14:09
담배꽁초,강남역 11번출구,2022-01-05 14:11
담배꽁초,강남역 11번출구,2022-01-05 14:20
담배꽁초,강남역 11번출구,2022-01-05 14:00
담배꽁초,강남역 11번출구,2022-01-05 13:55
담배꽁초,강남역 11번출구,2022-01-05 13:45
담배꽁초,강남역 11번출구,2022-01-05 13:46
담배꽁초,강남역 11번출구,2022-01-05 13:51
담배꽁초,신사동 609-3,2022-01-05 13:10
담배꽁초,대치동 섬유센터,2022-01-05 14:08
담배꽁초,대치동 테헤란로88길14,2022-01-05 10:30
담배꽁초,대치동 섬유센터,2022-01-05 11:20
담배꽁초,대치동 테헤란로510,2022-01-05 11:48
담배꽁초,대치동 테헤란로510,2022-01-05 12:30
담배꽁초,대치동 메트로칸,2022-01-05 13:50
담배꽁초,삼성동 삼성로511,2022-01-05 10:35
담배꽁초,삼성동 삼성로511,2022-01-05 11:05
담배꽁초,삼성동 삼성로511,2022-01-05 11:28
담배꽁초,대치동 테헤란로86길10,2022-01-05 14:30
담배꽁초,대치동 루첸타워,2022-01-05 14:20
담배꽁초,삼성동 테헤란로503,2022-01-05 10:28
담배꽁초,삼성동 테헤란로79길6,2022-01-05 10:45
담배꽁초,삼성동 테헤란로79길6,2022-01-05 10:53
담배꽁초,삼성동 테헤란로79길6,2022-01-05 10:53
담배꽁초,삼성동 테헤란로79길6,2022-01-05 11:10
담배꽁초,삼성동 테헤란로79길6,2022-01-05 11:20
담배꽁초,삼성동 테헤란로69길8,2022-01-05 11:45
담배꽁초,강남역 11번출구,2022-01-05 13:24
담배꽁초,강남역 11번출구,2022-01-05 13:26
담배꽁초,강남역 11번출구,2022-01-05 13:29
담배꽁초,강남역 11번출구,2022-01-05 13:31
담배꽁초,강남역 11번출구,2022-01-05 13:34
담배꽁초,강남역 11번출구,2022-01-05 13:34
담배꽁초,대치동 섬유센터뒤,2022-01-05 10:40
담배꽁초,대치동 KT대치빌딩,2022-01-05 11:00
담배꽁초,대치동 한국문화의집,2022-01-05 11:20
담배꽁초,대치동 섬유센터뒤,2022-01-05 11:25
담배꽁초,대치동 섬유센터뒤,2022-01-05 11:40
담배꽁초,대치동 한국문화의집,2022-01-05 13:40
담배꽁초,대치동 한국문화의집,2022-01-05 14:00
담배꽁초,대치동 섬유센터뒤,2022-01-05 14:25
담배꽁초,논현동,2022-01-05 10:10
담배꽁초,논현동 201-1,2022-01-05 10:00
담배꽁초,논현동 158-10,2022-01-05 09:45
담배꽁초,논현동 155-10,2022-01-05 09:40
담배꽁초,삼성동 강남구청앞,2022-01-05 09:00
담배꽁초,대치동 테헤란로86길10,2022-01-05 13:50
담배꽁초,대치동 테헤란로510,2022-01-05 14:20
담배꽁초,역삼동 테헤란로4길6,2022-01-06 10:40
담배꽁초,역삼동 강남대로408,2022-01-06 12:00
담배꽁초,역삼동 강남대로406,2022-01-06 12:05
담배꽁초,역삼동 강남대로406,2022-01-06 12:05
담배꽁초,역삼동 강남대로408,2022-01-06 12:10
담배꽁초,역삼동 강남대로406,2022-01-06 11:59
담배꽁초,역삼동 강남대로406,2022-01-06 11:54
담배꽁초,역삼동 강남대로406,2022-01-06 11:45
담배꽁초,역삼동 강남대로406,2022-01-06 10:53
담배꽁초,역삼동 강남대로406,2022-01-06 12:24
담배꽁초,역삼동 강남대로406,2022-01-06 12:31
담배꽁초,역삼동 강남대로406,2022-01-06 12:35
담배꽁초,강남역 11번출구,2022-01-06 14:41
담배꽁초,강남역 11번출구,2022-01-06 14:45
담배꽁초,대치동 삼성역,2022-01-06 11:10
담배꽁초,대치동 메트로칸,2022-01-06 11:50
담배꽁초,대치동 섬유센터뒤,2022-01-06 12:55
담배꽁초,대치동 섬유센터,2022-01-06 13:20
담배꽁초,대치동 섬유센터,2022-01-06 14:10
담배꽁초,강남역 11번출구,2022-01-06 13:51
담배꽁초,강남역 11번출구,2022-01-06 13:58
담배꽁초,강남역 11번출구,2022-01-06 14:20
담배꽁초,논현동 201-1,2022-01-06 10:20
담배꽁초,논현동 논현로127길,2022-01-06 09:11
담배꽁초,논현동 영동시장,2022-01-06 09:25
담배꽁초,논현동 영동시장,2022-01-06 09:31
담배꽁초,논현동 봉은사로1길9,2022-01-06 09:43
담배꽁초,논현동 봉은사로1길9,2022-01-06 09:51
담배꽁초,논현동 봉은사로1길9,2022-01-06 10:07
담배꽁초,논현동 봉은사로1길9,2022-01-06 10:19
담배꽁초,역삼동 테헤란로2길27,2022-01-06 10:39
담배꽁초,역삼동 테헤란로2길27,2022-01-06 11:08
담배꽁초,역삼동 테헤란로2길27,2022-01-06 11:17
담배꽁초,역삼동 테헤란로2길27,2022-01-06 11:31
담배꽁초,역삼동 테헤란로2길27,2022-01-06 11:47
담배꽁초,강남역 11번출구,2022-01-06 13:28
담배꽁초,강남역 11번출구,2022-01-06 13:48
담배꽁초,강남역 11번출구,2022-01-06 14:00
담배꽁초,강남역 11번출구,2022-01-06 11:00
담배꽁초,역삼동 테헤란로105,2022-01-06 11:15
담배꽁초,역삼동 테헤란로125,2022-01-06 11:28
담배꽁초,역삼동 테헤란로125,2022-01-06 11:40
담배꽁초,강남역 11번출구,2022-01-06 13:20
담배꽁초,강남역 11번출구,2022-01-06 13:42
담배꽁초,강남역 11번출구,2022-01-06 13:48
담배꽁초,강남역 11번출구,2022-01-06 12:20
담배꽁초,강남역 11번출구,2022-01-06 14:48
담배꽁초,강남역 11번출구,2022-01-06 13:41
담배꽁초,강남역 11번출구,2022-01-06 13:46
담배꽁초,강남역 11번출구,2022-01-06 13:50
담배꽁초,강남역 11번출구,2022-01-06 13:59
담배꽁초,강남역 11번출구,2022-01-06 14:04
담배꽁초,강남역 11번출구,2022-01-06 14:11
담배꽁초,강남역 11번출구,2022-01-06 14:23
담배꽁초,강남역 11번출구,2022-01-06 14:26
담배꽁초,강남역 11번출구,2022-01-06 14:53
담배꽁초,강남역 11번출구,2022-01-06 14:30
담배꽁초,강남역 11번출구,2022-01-06 14:35
담배꽁초,강남역 11번출구,2022-01-06 14:36
담배꽁초,대치동 테헤란로510,2022-01-06 10:25
담배꽁초,대치동 한국문화의집,2022-01-06 11:15
담배꽁초,대치동 섬유센터,2022-01-06 11:40
담배꽁초,대치동 한국문화의집,2022-01-06 12:00
담배꽁초,대치동 메트로칸,2022-01-06 14:15
담배꽁초,대치동 한국문화의집,2022-01-06 13:23
담배꽁초,대치동 섬유센터,2022-01-06 13:50
담배꽁초,대치동 한국문화의집,2022-01-06 13:05
담배꽁초,삼성동 테헤란로503,2022-01-06 10:40
담배꽁초,삼성동 테헤란로503,2022-01-06 13:20
담배꽁초,대치동 테헤란로78길16,2022-01-06 11:30
담배꽁초,대치동 테헤란로78길16,2022-01-06 11:40
담배꽁초,대치동 포스코빌딩,2022-01-06 11:50
담배꽁초,대치동 포스코빌딩,2022-01-06 12:00
담배꽁초,대치동 선릉로86길5-4,2022-01-06 13:50
담배꽁초,대치동 섬유센터,2022-01-06 10:40
담배꽁초,논현동 201-1,2022-01-06 09:50
담배꽁초,논현동 201-1,2022-01-06 09:40
담배꽁초,논현동 201-1,2022-01-06 09:30
담배꽁초,논현동 영동시장,2022-01-06 09:20
담배꽁초,논현동,2022-01-06 09:30
담배꽁초,논현동 201-1,2022-01-06 11:20
담배꽁초,논현동 201-1,2022-01-06 11:20
담배꽁초,논현동 201-1,2022-01-06 10:40
담배꽁초,논현동 201-1,2022-01-06 10:50
담배꽁초,논현동 242-29,2022-01-06 13:10
담배꽁초,논현동 242-19,2022-01-06 13:50
담배꽁초,논현동 242-20,2022-01-06 13:20
담배꽁초,논현동 242-19,2022-01-06 13:30
담배꽁초,삼성동 테헤란로81길16,2022-01-06 10:26
담배꽁초,대치동 테헤란로428,2022-01-06 11:24
담배꽁초,대치동 테헤란로432,2022-01-06 11:42
담배꽁초,대치동 테헤란로78길16,2022-01-06 11:56
담배꽁초,대치동 테헤란로78길16,2022-01-06 12:00
담배꽁초,대치동 테헤란로78길12,2022-01-06 12:08
담배꽁초,대치동 테헤란로428,2022-01-06 12:13
담배꽁초,대치동 선릉로90길14,2022-01-06 14:00
담배꽁초,대치동 선릉로90길14,2022-01-06 14:00
담배꽁초,강남역 11번출구,2022-01-07 14:15
담배꽁초,강남역 11번출구,2022-01-07 14:12
담배꽁초,강남역 1번출구,2022-01-07 11:14
담배꽁초,강남역 3번출구,2022-01-07 11:27
담배꽁초,강남역 11번출구,2022-01-07 14:08
담배꽁초,강남역 3번출구,2022-01-10 11:48
담배꽁초,강남역 11번출구,2022-01-07 13:24
담배꽁초,강남역 11번출구,2022-01-07 13:30
담배꽁초,강남역 11번출구,2022-01-07 13:38
담배꽁초,강남역 11번출구,2022-01-07 13:46
담배꽁초,논현동 강남대로124길75,2022-01-07 09:22
담배꽁초,논현동 강남대로122길11,2022-01-07 10:02
담배꽁초,논현동 201-1,2022-01-07 10:31
담배꽁초,논현동 201-1,2022-01-07 10:42
담배꽁초,논현동 학동로4길15,2022-01-07 11:14
담배꽁초,논현동 학동로20길12,2022-01-07 11:29
담배꽁초,논현동 강남대로128길81,2022-01-07 11:34
담배꽁초,강남역 11번출구,2022-01-07 11:25
담배꽁초,강남역 11번출구,2022-01-07 11:31
담배꽁초,강남역 11번출구,2022-01-07 13:15
담배꽁초,강남역 11번출구,2022-01-07 13:15
담배꽁초,강남역 11번출구,2022-01-07 13:17
담배꽁초,강남역 11번출구,2022-01-07 13:25
담배꽁초,강남역 11번출구,2022-01-07 13:39
담배꽁초,강남역 11번출구,2021-01-07 13:30
담배꽁초,강남역 11번출구,2022-01-07 13:25
담배꽁초,강남역 11번출구,2022-01-07 13:14
담배꽁초,강남역 11번출구,2022-01-07 13:07
담배꽁초,강남역 11번출구,2022-01-07 13:03
담배꽁초,강남역 11번출구,2022-01-07 11:33
담배꽁초,강남역 11번출구,2022-01-07 13:42
담배꽁초,강남역 11번출구,2022-01-07 13:54
담배꽁초,강남역 11번출구,2022-01-07 13:59
담배꽁초,강남역 11번출구,2022-01-07 14:05
담배꽁초,삼성동 테헤란로503,2022-01-07 10:50
담배꽁초,삼성동 테헤란로81길10,2022-01-07 11:07
담배꽁초,삼성동 현대타워,2022-01-07 11:40
담배꽁초,대치동 삼성로81길28,2022-01-07 11:45
담배꽁초,대치동 삼성로81길36,2022-01-07 11:55
담배꽁초,역삼동 테헤란로2길27,2022-01-07 11:23
담배꽁초,역삼동 테헤란로2길27,2022-01-07 11:48
담배꽁초,역삼동 강남대로406,2022-01-07 13:39
담배꽁초,역삼동 강남대로406,2022-01-07 13:55
담배꽁초,강남역 11번출구,2022-01-07 14:04
담배꽁초,역삼동 강남대로406,2022-01-07 14:09
담배꽁초,강남역 11번출구,2022-01-07 13:48
담배꽁초,강남역 11번출구,2022-01-07 13:53
담배꽁초,강남역 11번출구,2022-01-07 13:56
담배꽁초,강남역 11번출구,2022-01-07 14:01
담배꽁초,대치동 메트로칸,2022-01-07 10:42
담배꽁초,대치동 섬유센터,2022-01-07 10:56
담배꽁초,대치동 한국문화의집,2022-01-07 11:01
담배꽁초,대치동 섬유센터,2022-01-07 11:25
담배꽁초,대치동 섬유센터,2022-01-07 11:25
담배꽁초,대치동 섬유센터,2022-01-07 11:20
담배꽁초,대치동 KT&G,2022-01-07 13:30
담배꽁초,대치동 KT&G,2022-01-07 11:40
담배꽁초,대치동 KT&G,2022-01-07 11:35
담배꽁초,대치동 KT&G,2022-01-07 14:05
담배꽁초,대치동 KT&G,2022-01-07 14:21
담배꽁초,대치동 KT&G,2021-01-07 12:30
담배꽁초,삼성동 삼성로92길13,2021-01-07 13:40
담배꽁초,논현동 201-1,2021-01-07 10:40
담배꽁초,논현동 201-1,2021-01-07 11:20
담배꽁초,논현동 선릉로129길7,2021-01-07 14:10
담배꽁초,논현동 선릉로129길7,2021-01-07 13:20
담배꽁초,논현동 242-7,2021-01-07 13:20
담배꽁초,논현동 201-1,2021-01-07 10:30
담배꽁초,논현동 201-1,2021-01-07 09:40
담배꽁초,논현동 201-1,2021-01-07 09:30
담배꽁초,논현동 영동시장,2021-01-07 09:20
담배꽁초,삼성동 테헤란로81길,2021-01-07 10:35
담배꽁초,삼성동 삼성로508,2021-01-07 10:40
담배꽁초,삼성동 테헤란로81길9,2021-01-07 10:51
담배꽁초,삼성동 삼성로508,2021-01-07 11:10
