1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,위원회분야,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,위원회분야,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,위원회분야,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,위원회분야,소계,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,위원회분야,위원회분야,소계,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,위원회분야,위원회분야,소계,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,위원회분야,위원회분야,소계,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,위원회분야,위원회분야,소계,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,소계,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,소계,소계,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야,민원분야
소계,소계,건설분야,교통분야,도시계획분야,문화관광분야,보건복지분야,산업경제분야,소방분야,주택건축분야,환경분야,행정분야,소계,소계,건설분야,교통분야,도시계획분야,문화관광분야,보건복지분야,산업경제분야,소방분야,주택건축분야,환경분야,행정분야,소계,소계,건설분야,교통분야,도시계획분야,문화관광분야,보건복지분야,산업경제분야,소방분야,주택건축분야,환경분야,행정분야,소계,소계,건설분야,교통분야,도시계획분야,문화관광분야,보건복지분야,산업경제분야,소방분야,주택건축분야,환경분야,행정분야,소계,소계,건설분야,교통분야,도시계획분야,문화관광분야,보건복지분야,산업경제분야,소방분야,주택건축분야,환경분야,행정분야,소계,소계,소계,건설분야,교통분야,도시계획분야,문화관광분야,보건복지분야,산업경제분야,소방분야,주택건축분야,환경분야,행정분야,소계,소계,소계,건설분야,교통분야,도시계획분야,문화관광분야,보건복지분야,산업경제분야,소방분야,주택건축분야,환경분야,행정분야,소계,소계,소계,건설분야,교통분야,도시계획분야,문화관광분야,보건복지분야,산업경제분야,소방분야,주택건축분야,환경분야,행정분야,상수도분야,정보통신분야,소계,소계,소계,소계,소계,건설분야,건설분야,교통분야,교통분야,도시계획분야,도시계획분야,문화관광분야,문화관광분야,보건복지분야,보건복지분야,산업경제분야,산업경제분야,소방분야,소방분야,주택건축분야,주택건축분야,환경분야,환경분야,행정분야,행정분야,상수도분야,상수도분야,정보통신분야,정보통신분야,소계,소계,소계,소계,소계,소계,건설분야,건설분야,교통분야,교통분야,도시계획분야,도시계획분야,문화관광분야,문화관광분야,보건복지분야,보건복지분야,산업경제분야,산업경제분야,소방분야,소방분야,주택건축분야,주택건축분야,환경분야,환경분야,행정분야,행정분야,정보통신분야,정보통신분야,소계,소계,소계,소계,소계,소계,건설분야,건설분야,교통분야,교통분야,도시계획분야,도시계획분야,문화관광분야,문화관광분야,보건복지분야,보건복지분야,산업경제분야,산업경제분야,소방분야,소방분야,주택건축분야,주택건축분야,환경분야,환경분야,행정분야,행정분야,정보통신분야,정보통신분야,소계,소계,소계,소계,소계,소계,건설분야,건설분야,교통분야,교통분야,도시계획분야,도시계획분야,문화관광분야,문화관광분야,보건복지분야,보건복지분야,산업경제분야,산업경제분야,소방분야,소방분야,주택건축분야,주택건축분야,환경분야,환경분야,행정분야,행정분야,상수도분야,상수도분야,소계,소계,소계,소계,소계,소계,건설분야,건설분야,교통분야,교통분야,도시계획분야,도시계획분야,문화관광분야,문화관광분야,산업경제분야,산업경제분야,환경분야,환경분야,소계,소계,소계,소계,건설분야,건설분야,교통분야,교통분야,도시계획분야,문화관광분야,문화관광분야,산업경제분야,산업경제분야,환경분야,환경분야,소계,소계,소계,소계,건설분야,건설분야,교통분야,문화관광분야,산업경제분야,환경분야
업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,민원수,업무수,업무수,업무수,업무수
12426,12426,844,209,506,108,4424,68,1521,3805,183,758,47158,47158,8764,14264,629,1255,2336,3281,1999,10616,3186,828,63578,63578,11754,14610,795,2922,1856,3456,2759,20640,4047,739,69087,69087,9213,16457,669,3438,1785,3622,4621,23753,5008,521,63139,62689,10034,16064,1120,3714,2204,3346,5596,14259,5884,468,450,100543,99271,15817,8861,10524,3585,6179,11930,10261,25555,6118,441,1272,103254,101830,16890,9664,10726,3101,8052,12708,9679,25404,5017,589,1424,129709,128407,16644,10267,13430,3197,7911,11758,19395,26748,6846,597,8137,3477,1302,937,446000,775,442326,93,66853,67,48262,72,60234,49,12604,102,22543,81,24193,61,98960,127,72125,88,11950,12,2551,11,11344,12,10707,162,3674,719,296326,564,292971,84,58654,69,40863,72,60868,45,12070,77,15255,26,8597,60,63505,77,13096,30,2866,12,2814,12,14383,155,3355,612,198633,477,195346,84,50245,55,23893,67,32733,30,3353,61,10342,25,8468,60,54375,48,773,23,2235,12,1372,12,7557,135,3287,90,19089,88,18922,49,18344,4,291,13,158,6,20,1,9,1,1,3,34,6,10,1,4,3,50,1,1,2,167,10,776,10,776,4,747,1,2,1,4,2,4,1,1,1,18,10,201,10,201,4,194,1,2,1,2,1,1,1,1,3,6,75,6,75,1,75,1,2,1,1
